title,year,genre,director,cast,countries,rating,languages
Juno,2007,"['Comedy', 'Drama']",[<Person id:0718646[http] name:_Jason Reitman_>],"[<Person id:0680983[http] name:_Elliot Page_>, <Person id:0148418[http] name:_Michael Cera_>, <Person id:0004950[http] name:_Jennifer Garner_>, <Person id:0000867[http] name:_Jason Bateman_>, <Person id:0005049[http] name:_Allison Janney_>, <Person id:0799777[http] name:_J.K. Simmons_>, <Person id:1880888[http] name:_Olivia Thirlby_>, <Person id:0669826[http] name:_Eileen Pedde_>, <Person id:0933988[http] name:_Rainn Wilson_>, <Person id:0163818[http] name:_Daniel Clark_>]",['United States'],7.4,"['English', 'Spanish']"
Galaxy Quest,1999,"['Adventure', 'Comedy', 'Sci-Fi']",[<Person id:0661751[http] name:_Dean Parisot_>],"[<Person id:0000741[http] name:_Tim Allen_>, <Person id:0000244[http] name:_Sigourney Weaver_>, <Person id:0000614[http] name:_Alan Rickman_>, <Person id:0001724[http] name:_Tony Shalhoub_>, <Person id:0005377[http] name:_Sam Rockwell_>, <Person id:0593258[http] name:_Daryl Mitchell_>, <Person id:0170186[http] name:_Enrico Colantoni_>, <Person id:0755179[http] name:_Robin Sachs_>, <Person id:0106755[http] name:_Patrick Breen_>, <Person id:0701512[http] name:_Missi Pyle_>]",['United States'],7.3,['English']
Memories of Murder,2003,"['Action', 'Crime', 'Drama']",[<Person id:0094435[http] name:_Bong Joon Ho_>],"[<Person id:0814280[http] name:_Song Kang-Ho_>, <Person id:1235292[http] name:_Kim Sang-kyung_>, <Person id:1323287[http] name:_Roe-ha Kim_>, <Person id:1138201[http] name:_Jae-ho Song_>, <Person id:1322404[http] name:_Byun Hee-Bong_>, <Person id:1325300[http] name:_Seo-hie Ko_>, <Person id:3797160[http] name:_Tae-ho Ryu_>, <Person id:1369550[http] name:_No-shik Park_>, <Person id:1310960[http] name:_Park Hae-il_>, <Person id:0432429[http] name:_Mi-seon Jeon_>]",['South Korea'],8.1,"['Korean', 'English']"
The Raid: Redemption,2011,"['Action', 'Thriller']",[<Person id:2153088[http] name:_Gareth Evans_>],"[<Person id:3299397[http] name:_Iko Uwais_>, <Person id:3029144[http] name:_Joe Taslim_>, <Person id:1902766[http] name:_Donny Alamsyah_>, <Person id:3345670[http] name:_Yayan Ruhian_>, <Person id:2679703[http] name:_Pierre Gruno_>, <Person id:1228805[http] name:_Ray Sahetapy_>, <Person id:4792581[http] name:_Tegar Satrya_>, <Person id:4952063[http] name:_Iang Darmawan_>, <Person id:4950660[http] name:_Eka 'Piranha' Rahmadia_>, <Person id:2681362[http] name:_Verdi Solaiman_>]","['Indonesia', 'France', 'United States']",7.6,['Indonesian']
Blade Runner,1982,"['Action', 'Sci-Fi', 'Thriller']",[<Person id:0000631[http] name:_Ridley Scott_>],"[<Person id:0000148[http] name:_Harrison Ford_>, <Person id:0000442[http] name:_Rutger Hauer_>, <Person id:0000707[http] name:_Sean Young_>, <Person id:0001579[http] name:_Edward James Olmos_>, <Person id:0001826[http] name:_M. Emmet Walsh_>, <Person id:0000435[http] name:_Daryl Hannah_>, <Person id:0761836[http] name:_William Sanderson_>, <Person id:0001397[http] name:_Brion James_>, <Person id:0877185[http] name:_Joe Turkel_>, <Person id:0001026[http] name:_Joanna Cassidy_>]",['United States'],8.1,"['English', 'German', 'Cantonese']"
"The Good, the Bad and the Ugly",1966,['Western'],[<Person id:0001466[http] name:_Sergio Leone_>],"[<Person id:0908919[http] name:_Eli Wallach_>, <Person id:0000142[http] name:_Clint Eastwood_>, <Person id:0001812[http] name:_Lee Van Cleef_>, <Person id:0321294[http] name:_Aldo Giuffrè_>, <Person id:0685559[http] name:_Luigi Pistilli_>, <Person id:0711502[http] name:_Rada Rassimov_>, <Person id:0677654[http] name:_Enzo Petito_>, <Person id:0769116[http] name:_Claudio Scarchilli_>, <Person id:0058384[http] name:_John Bartha_>, <Person id:0520859[http] name:_Livio Lorenzon_>]","['Italy', 'Spain', 'West Germany']",8.8,['Italian']
The Deer Hunter,1978,"['Drama', 'War']",[<Person id:0001047[http] name:_Michael Cimino_>],"[<Person id:0000134[http] name:_Robert De Niro_>, <Person id:0001030[http] name:_John Cazale_>, <Person id:0001698[http] name:_John Savage_>, <Person id:0000686[http] name:_Christopher Walken_>, <Person id:0000658[http] name:_Meryl Streep_>, <Person id:0001169[http] name:_George Dzundza_>, <Person id:0039625[http] name:_Chuck Aspegren_>, <Person id:0831471[http] name:_Shirley Stoler_>, <Person id:0017377[http] name:_Rutanya Alda_>, <Person id:0782132[http] name:_Pierre Segui_>]",['United States'],8.1,"['English', 'Russian', 'Vietnamese']"
Slither,2006,"['Comedy', 'Horror', 'Sci-Fi']",[<Person id:0348181[http] name:_James Gunn_>],"[<Person id:0860065[http] name:_Don Thompson_>, <Person id:0277213[http] name:_Nathan Fillion_>, <Person id:0001344[http] name:_Gregg Henry_>, <Person id:0705684[http] name:_Xantha Radley_>, <Person id:0006969[http] name:_Elizabeth Banks_>, <Person id:0766690[http] name:_Tania Saulnier_>, <Person id:1682420[http] name:_Dustin Milligan_>, <Person id:0740264[http] name:_Michael Rooker_>, <Person id:0840096[http] name:_Haig Sutherland_>, <Person id:0178838[http] name:_Jennifer Copping_>]","['Canada', 'United States']",6.5,['English']
The Secret of NIMH,1982,"['Animation', 'Adventure', 'Drama']",[<Person id:0089940[http] name:_Don Bluth_>],"[<Person id:0001394[http] name:_Derek Jacobi_>, <Person id:0366946[http] name:_Elizabeth Hartman_>, <Person id:0539395[http] name:_Arthur Malet_>, <Person id:0001123[http] name:_Dom DeLuise_>, <Person id:0045968[http] name:_Hermione Baddeley_>, <Person id:0001147[http] name:_Shannen Doherty_>, <Person id:0000696[http] name:_Wil Wheaton_>, <Person id:0382878[http] name:_Jodi Hicks_>, <Person id:0294956[http] name:_Ian Fried_>, <Person id:0001017[http] name:_John Carradine_>]",['United States'],7.6,['English']
Climax,2018,"['Drama', 'Horror', 'Music']",[<Person id:0637615[http] name:_Gaspar Noé_>],"[<Person id:1154749[http] name:_Sofia Boutella_>, <Person id:8273848[http] name:_Romain Guillermic_>, <Person id:9113893[http] name:_Souheila Yacoub_>, <Person id:8156298[http] name:_Kiddy Smile_>, <Person id:9850520[http] name:_Claude-Emmanuelle Gajan-Maull_>, <Person id:9850521[http] name:_Giselle Palmer_>, <Person id:9835809[http] name:_Taylor Kastle_>, <Person id:9835810[http] name:_Thea Carla Schott_>, <Person id:9835811[http] name:_Sharleen Temple_>, <Person id:9835812[http] name:_Lea Vlamos_>]","['France', 'Belgium']",7.1,"['French', 'English']"
The Wolf of Snow Hollow,2020,"['Comedy', 'Horror', 'Thriller']",[<Person id:3526993[http] name:_Jim Cummings_>],"[<Person id:3526993[http] name:_Jim Cummings_>, <Person id:1641251[http] name:_Riki Lindhome_>, <Person id:0001233[http] name:_Robert Forster_>, <Person id:5557379[http] name:_Chloe East_>, <Person id:4830183[http] name:_Will Madden_>, <Person id:5981994[http] name:_Annie Hamilton_>, <Person id:5555161[http] name:_Jimmy Tatro_>, <Person id:5064329[http] name:_Hannah Elder_>, <Person id:1352952[http] name:_Kelsey Edwards_>, <Person id:4347725[http] name:_Skyler Bible_>]",['United States'],6.2,['English']
Shithouse,2020,"['Comedy', 'Drama', 'Romance']",[<Person id:4323708[http] name:_Cooper Raiff_>],"[<Person id:4323708[http] name:_Cooper Raiff_>, <Person id:3871647[http] name:_Dylan Gelula_>, <Person id:0484541[http] name:_Amy Landecker_>, <Person id:2383250[http] name:_Logan Miller_>, <Person id:7326511[http] name:_Olivia Welch_>, <Person id:5362984[http] name:_Abby Quinn_>, <Person id:8137263[http] name:_Joy Sunday_>, <Person id:11279355[http] name:_Ashley Padilla_>, <Person id:4342385[http] name:_Tre Hall_>, <Person id:5013462[http] name:_Alina Patra_>]",['United States'],6.9,['English']
In the Mouth of Madness,1995,"['Drama', 'Horror', 'Mystery']",[<Person id:0000118[http] name:_John Carpenter_>],"[<Person id:0000554[http] name:_Sam Neill_>, <Person id:0138388[http] name:_Julie Carmen_>, <Person id:0001638[http] name:_Jürgen Prochnow_>, <Person id:0001831[http] name:_David Warner_>, <Person id:0001278[http] name:_John Glover_>, <Person id:0143378[http] name:_Bernie Casey_>, <Person id:0419273[http] name:_Peter Jason_>, <Person id:0000032[http] name:_Charlton Heston_>, <Person id:0062844[http] name:_Frances Bay_>, <Person id:0902455[http] name:_Wilhelm von Homburg_>]",['United States'],7.2,['English']
Lethal Weapon,1987,"['Action', 'Crime', 'Thriller']",[<Person id:0001149[http] name:_Richard Donner_>],"[<Person id:0000154[http] name:_Mel Gibson_>, <Person id:0000418[http] name:_Danny Glover_>, <Person id:0000997[http] name:_Gary Busey_>, <Person id:0752751[http] name:_Mitchell Ryan_>, <Person id:0040662[http] name:_Tom Atkins_>, <Person id:0522306[http] name:_Darlene Love_>, <Person id:0938159[http] name:_Traci Wolfe_>, <Person id:0841806[http] name:_Jackie Swanson_>, <Person id:0385649[http] name:_Damon Hines_>, <Person id:0808077[http] name:_Ebonie Smith_>]",['United States'],7.6,['English']
Falling Down,1993,"['Action', 'Crime', 'Drama']",[<Person id:0001708[http] name:_Joel Schumacher_>],"[<Person id:0000140[http] name:_Michael Douglas_>, <Person id:0000380[http] name:_Robert Duvall_>, <Person id:0001347[http] name:_Barbara Hershey_>, <Person id:0001797[http] name:_Rachel Ticotin_>, <Person id:0001839[http] name:_Tuesday Weld_>, <Person id:0002078[http] name:_Frederic Forrest_>, <Person id:0809135[http] name:_Lois Smith_>, <Person id:0801966[http] name:_Joey Singer_>, <Person id:0808076[http] name:_Ebbe Roe Smith_>, <Person id:0151033[http] name:_Michael Paul Chan_>]","['United States', 'France', 'United Kingdom']",7.6,"['English', 'Spanish', 'Korean']"
Sleepaway Camp,1983,['Horror'],[<Person id:0385349[http] name:_Robert Hiltzik_>],"[<Person id:0741378[http] name:_Felissa Rose_>, <Person id:0862962[http] name:_Jonathan Tiersten_>, <Person id:0276290[http] name:_Karen Fields_>, <Person id:0171754[http] name:_Christopher Collet_>, <Person id:0446037[http] name:_Mike Kellin_>, <Person id:0436613[http] name:_Katherine Kamhi_>, <Person id:0213075[http] name:_Paul DeAngelo_>, <Person id:0886033[http] name:_Thomas E. van Dell_>, <Person id:0758526[http] name:_Loris Diran_>, <Person id:0242633[http] name:_John E. Dunn_>]",['United States'],6.3,['English']
Akira,1988,"['Animation', 'Action', 'Sci-Fi']",[<Person id:0960028[http] name:_Katsuhiro Ôtomo_>],"[<Person id:0412628[http] name:_Mitsuo Iwata_>, <Person id:0765815[http] name:_Nozomu Sasaki_>, <Person id:0468708[http] name:_Mami Koyama_>, <Person id:0312656[http] name:_Tesshô Genda_>, <Person id:0960022[http] name:_Hiroshi Ôtake_>, <Person id:0457561[http] name:_Kôichi Kitamura_>, <Person id:0407495[http] name:_Michihiro Ikemizu_>, <Person id:0297167[http] name:_Yuriko Fuchizaki_>, <Person id:0959991[http] name:_Masaaki Ôkura_>, <Person id:0032875[http] name:_Tarô Arakawa_>]",['Japan'],8.0,['Japanese']
Green Room,2015,"['Horror', 'Music', 'Thriller']",[<Person id:1099918[http] name:_Jeremy Saulnier_>],"[<Person id:0947338[http] name:_Anton Yelchin_>, <Person id:3771184[http] name:_Joe Cole_>, <Person id:0790057[http] name:_Alia Shawkat_>, <Person id:4360085[http] name:_Callum Turner_>, <Person id:3664430[http] name:_David Thompson_>, <Person id:0916406[http] name:_Mark Webber_>, <Person id:0086301[http] name:_Macon Blair_>, <Person id:1468061[http] name:_Eric Edelstein_>, <Person id:1864734[http] name:_Michael Draper_>, <Person id:3019080[http] name:_Andy Copeland_>]",['United States'],7.0,['English']
The Handmaiden,2016,"['Drama', 'Romance', 'Thriller']",[<Person id:0661791[http] name:_Chan-wook Park_>],"[<Person id:1195119[http] name:_Min-hee Kim_>, <Person id:3892241[http] name:_Tae-ri Kim_>, <Person id:1978402[http] name:_Jung-woo Ha_>, <Person id:2437361[http] name:_Cho Jin-woong_>, <Person id:1390122[http] name:_Kim Hae-sook_>, <Person id:0600668[http] name:_Moon So-Ri_>, <Person id:8621200[http] name:_Si-yeon Ha_>, <Person id:8621198[http] name:_Ha-na Han_>, <Person id:6844249[http] name:_Ha-dam Jeong_>, <Person id:8621197[http] name:_Eun-hyung Jo_>]",['South Korea'],8.1,"['Korean', 'Japanese']"
Chinatown,1974,"['Drama', 'Mystery', 'Thriller']",[<Person id:0000591[http] name:_Roman Polanski_>],"[<Person id:0000197[http] name:_Jack Nicholson_>, <Person id:0001159[http] name:_Faye Dunaway_>, <Person id:0001379[http] name:_John Huston_>, <Person id:0520164[http] name:_Perry Lopez_>, <Person id:0384916[http] name:_John Hillerman_>, <Person id:0959022[http] name:_Darrell Zwerling_>, <Person id:0002663[http] name:_Diane Ladd_>, <Person id:0421772[http] name:_Roy Jenson_>, <Person id:0000591[http] name:_Roman Polanski_>, <Person id:0048147[http] name:_Richard Bakalyan_>]",['United States'],8.1,"['English', 'Cantonese', 'Spanish']"
Upgrade,2018,"['Action', 'Sci-Fi', 'Thriller']",[<Person id:1191481[http] name:_Leigh Whannell_>],"[<Person id:1334869[http] name:_Logan Marshall-Green_>, <Person id:2177933[http] name:_Melanie Vallejo_>, <Person id:2114889[http] name:_Steve Danielsen_>, <Person id:1980534[http] name:_Abby Craden_>, <Person id:1549295[http] name:_Harrison Gilbertson_>, <Person id:3715624[http] name:_Benedict Hardie_>, <Person id:1010852[http] name:_Richard Cawthorne_>, <Person id:0456130[http] name:_Christopher Kirby_>, <Person id:3205371[http] name:_Richard Anastasios_>, <Person id:3228406[http] name:_Kenny Low_>]","['United States', 'Australia']",7.5,"['English', 'Dutch']"
Minority Report,2002,"['Action', 'Crime', 'Mystery']",[<Person id:0000229[http] name:_Steven Spielberg_>],"[<Person id:0000129[http] name:_Tom Cruise_>, <Person id:0001884[http] name:_Max von Sydow_>, <Person id:0004996[http] name:_Steve Harris_>, <Person id:0568180[http] name:_Neal McDonough_>, <Person id:0453304[http] name:_Patrick Kilpatrick_>, <Person id:0004800[http] name:_Jessica Capshaw_>, <Person id:0168044[http] name:_Richard Coca_>, <Person id:0132625[http] name:_Keith Campbell_>, <Person id:0938570[http] name:_Kirk B.R. Woller_>, <Person id:0779455[http] name:_Klea Scott_>]",['United States'],7.6,"['English', 'Swedish']"
Scrooged,1988,"['Comedy', 'Drama', 'Fantasy']",[<Person id:0001149[http] name:_Richard Donner_>],"[<Person id:0000195[http] name:_Bill Murray_>, <Person id:0000261[http] name:_Karen Allen_>, <Person id:0001234[http] name:_John Forsythe_>, <Person id:0001278[http] name:_John Glover_>, <Person id:0001281[http] name:_Bobcat Goldthwait_>, <Person id:0423774[http] name:_David Johansen_>, <Person id:0001406[http] name:_Carol Kane_>, <Person id:0000053[http] name:_Robert Mitchum_>, <Person id:0680672[http] name:_Nicholas Phillips_>, <Person id:0689488[http] name:_Michael J. Pollard_>]",['United States'],7.0,['English']
Caddyshack,1980,"['Comedy', 'Sport']",[<Person id:0000601[http] name:_Harold Ramis_>],"[<Person id:0000331[http] name:_Chevy Chase_>, <Person id:0001098[http] name:_Rodney Dangerfield_>, <Person id:0461095[http] name:_Ted Knight_>, <Person id:0001574[http] name:_Michael O'Keefe_>, <Person id:0000195[http] name:_Bill Murray_>, <Person id:0390106[http] name:_Sarah Holcomb_>, <Person id:0173082[http] name:_Scott Colomby_>, <Person id:0604563[http] name:_Cindy Morgan_>, <Person id:0720274[http] name:_Dan Resin_>, <Person id:0928295[http] name:_Henry Wilcoxon_>]",['United States'],7.3,['English']
Starship Troopers,1997,"['Action', 'Adventure', 'Sci-Fi']",[<Person id:0000682[http] name:_Paul Verhoeven_>],"[<Person id:0000680[http] name:_Casper Van Dien_>, <Person id:0000539[http] name:_Dina Meyer_>, <Person id:0000612[http] name:_Denise Richards_>, <Person id:0000998[http] name:_Jake Busey_>, <Person id:0000439[http] name:_Neil Patrick Harris_>, <Person id:0000317[http] name:_Clancy Brown_>, <Person id:0319121[http] name:_Seth Gilliam_>, <Person id:0005258[http] name:_Patrick Muldoon_>, <Person id:0000461[http] name:_Michael Ironside_>, <Person id:0001516[http] name:_Rue McClanahan_>]",['United States'],7.2,['English']
Chappie,2015,"['Action', 'Crime', 'Drama']",[<Person id:0088955[http] name:_Neill Blomkamp_>],"[<Person id:1663205[http] name:_Sharlto Copley_>, <Person id:2353862[http] name:_Dev Patel_>, <Person id:4375135[http] name:_Ninja_>, <Person id:4375497[http] name:_Yo-Landi Visser_>, <Person id:1504678[http] name:_Jose Pablo Cantillo_>, <Person id:0413168[http] name:_Hugh Jackman_>, <Person id:0000244[http] name:_Sigourney Weaver_>, <Person id:1409827[http] name:_Brandon Auret_>, <Person id:3520514[http] name:_Johnny Selema_>, <Person id:0177846[http] name:_Anderson Cooper_>]","['South Africa', 'United States']",6.8,['English']
Black Christmas,1974,"['Horror', 'Mystery', 'Thriller']",[<Person id:0163706[http] name:_Bob Clark_>],"[<Person id:0001377[http] name:_Olivia Hussey_>, <Person id:0001158[http] name:_Keir Dullea_>, <Person id:0452288[http] name:_Margot Kidder_>, <Person id:0768334[http] name:_John Saxon_>, <Person id:0907201[http] name:_Marian Waldman_>, <Person id:0551908[http] name:_Andrea Martin_>, <Person id:0249461[http] name:_James Edmond_>, <Person id:0569789[http] name:_Doug McGrath_>, <Person id:0385543[http] name:_Art Hindle_>, <Person id:0341289[http] name:_Lynne Griffin_>]",['Canada'],7.2,['English']
National Lampoon's Christmas Vacation,1989,['Comedy'],[<Person id:0154819[http] name:_Jeremiah S. Chechik_>],"[<Person id:0000331[http] name:_Chevy Chase_>, <Person id:0000350[http] name:_Beverly D'Angelo_>, <Person id:0000496[http] name:_Juliette Lewis_>, <Person id:0301959[http] name:_Johnny Galecki_>, <Person id:0709907[http] name:_John Randolph_>, <Person id:0002663[http] name:_Diane Ladd_>, <Person id:0550855[http] name:_E.G. Marshall_>, <Person id:0005368[http] name:_Doris Roberts_>, <Person id:0001642[http] name:_Randy Quaid_>, <Person id:0283565[http] name:_Miriam Flynn_>]",['United States'],7.6,['English']
