title,year,genre,director,cast,countries,rating,languages
War for the Planet of the Apes,2017,"['Action', 'Adventure', 'Drama']",[<Person id:0716257[http] name:_Matt Reeves_>],"[<Person id:0785227[http] name:_Andy Serkis_>, <Person id:0000437[http] name:_Woody Harrelson_>, <Person id:0001872[http] name:_Steve Zahn_>, <Person id:0465269[http] name:_Karin Konoval_>, <Person id:6403233[http] name:_Amiah Miller_>, <Person id:1024953[http] name:_Terry Notary_>, <Person id:0648153[http] name:_Ty Olsson_>, <Person id:1027678[http] name:_Michael Adamthwaite_>, <Person id:1527905[http] name:_Toby Kebbell_>, <Person id:2474632[http] name:_Gabriel Chavarria_>]","['United States', 'Canada', 'New Zealand']",7.4,"['English', 'American Sign Language']"
Fast Times at Ridgemont High,1982,"['Comedy', 'Drama']",[<Person id:0002132[http] name:_Amy Heckerling_>],"[<Person id:0000576[http] name:_Sean Penn_>, <Person id:0000492[http] name:_Jennifer Jason Leigh_>, <Person id:0001662[http] name:_Judge Reinhold_>, <Person id:0001680[http] name:_Robert Romanus_>, <Person id:0045637[http] name:_Brian Backer_>, <Person id:0000121[http] name:_Phoebe Cates_>, <Person id:0001827[http] name:_Ray Walston_>, <Person id:0861093[http] name:_Scott Thomson_>, <Person id:0001704[http] name:_Vincent Schiavelli_>, <Person id:0944143[http] name:_Amanda Wyss_>]",['United States'],7.2,['English']
Jackie Brown,1997,"['Crime', 'Drama', 'Thriller']",[<Person id:0000233[http] name:_Quentin Tarantino_>],"[<Person id:0000427[http] name:_Pam Grier_>, <Person id:0000168[http] name:_Samuel L. Jackson_>, <Person id:0001233[http] name:_Robert Forster_>, <Person id:0000403[http] name:_Bridget Fonda_>, <Person id:0000474[http] name:_Michael Keaton_>, <Person id:0000134[http] name:_Robert De Niro_>, <Person id:0100889[http] name:_Michael Bowen_>, <Person id:0000676[http] name:_Chris Tucker_>, <Person id:0004986[http] name:_LisaGay Hamilton_>, <Person id:0001474[http] name:_Tom Lister Jr._>]",['United States'],7.5,['English']
The Void,2016,"['Horror', 'Mystery', 'Sci-Fi']","[<Person id:2860882[http] name:_Jeremy Gillespie_>, <Person id:2725627[http] name:_Steven Kostanski_>]","[<Person id:0690803[http] name:_Aaron Poole_>, <Person id:0920564[http] name:_Kenneth Welsh_>, <Person id:1016334[http] name:_Daniel Fathers_>, <Person id:1182008[http] name:_Kathleen Munroe_>, <Person id:2771798[http] name:_Ellen Wong_>, <Person id:6643846[http] name:_Mik Byskov_>, <Person id:0385543[http] name:_Art Hindle_>, <Person id:0067697[http] name:_Stephanie Belding_>, <Person id:0589767[http] name:_James Millington_>, <Person id:5357324[http] name:_Evan Stern_>]",['Canada'],5.8,['English']
Oldboy,2003,"['Action', 'Drama', 'Mystery']",[<Person id:0661791[http] name:_Chan-wook Park_>],"[<Person id:0158856[http] name:_Choi Min-sik_>, <Person id:0949167[http] name:_Yoo Ji-Tae_>, <Person id:1367246[http] name:_Hye-jeong Kang_>, <Person id:1366028[http] name:_Kim Byeong-Ok_>, <Person id:1203041[http] name:_Dae-han Ji_>, <Person id:1367681[http] name:_Dal-su Oh_>, <Person id:1800416[http] name:_Seung-shin Lee_>, <Person id:1517134[http] name:_Jin-Seo Yoon_>, <Person id:0644905[http] name:_Tae-kyung Oh_>, <Person id:1881661[http] name:_Yeon-Seok Yoo_>]",['South Korea'],8.4,['Korean']
Wet Hot American Summer,2001,"['Comedy', 'Romance']",[<Person id:0906476[http] name:_David Wain_>],"[<Person id:0000413[http] name:_Janeane Garofalo_>, <Person id:0001383[http] name:_David Hyde Pierce_>, <Person id:0795290[http] name:_Michael Showalter_>, <Person id:0603413[http] name:_Marguerite Moreau_>, <Person id:0748620[http] name:_Paul Rudd_>, <Person id:0651008[http] name:_Zak Orth_>, <Person id:0005221[http] name:_Christopher Meloni_>, <Person id:0587043[http] name:_A.D. Miles_>, <Person id:0788340[http] name:_Molly Shannon_>, <Person id:0414416[http] name:_Gideon Jacobs_>]",['United States'],6.6,['English']
What Lies Beneath,2000,"['Drama', 'Fantasy', 'Horror']",[<Person id:0000709[http] name:_Robert Zemeckis_>],"[<Person id:0000201[http] name:_Michelle Pfeiffer_>, <Person id:0870007[http] name:_Katharine Towne_>, <Person id:0001584[http] name:_Miranda Otto_>, <Person id:0001664[http] name:_James Remar_>, <Person id:0000148[http] name:_Harrison Ford_>, <Person id:0081197[http] name:_Victoria Bidewell_>, <Person id:0769311[http] name:_Diana Scarwid_>, <Person id:0759704[http] name:_Dennison Samaroo_>, <Person id:0876611[http] name:_Jennifer Tung_>, <Person id:0330846[http] name:_Eliott Goretsky_>]",['United States'],6.6,['English']
Submarine,2010,"['Comedy', 'Drama', 'Romance']",[<Person id:1547964[http] name:_Richard Ayoade_>],"[<Person id:0852965[http] name:_Noah Taylor_>, <Person id:0175916[http] name:_Paddy Considine_>, <Person id:1064292[http] name:_Craig Roberts_>, <Person id:1306081[http] name:_Yasmin Paige_>, <Person id:1020089[http] name:_Sally Hawkins_>, <Person id:2362716[http] name:_Darren Evans_>, <Person id:3582739[http] name:_Osian Cai Dulais_>, <Person id:3944584[http] name:_Lily McCann_>, <Person id:4478115[http] name:_Otis Lloyd_>, <Person id:4165762[http] name:_Elinor Crawley_>]","['United Kingdom', 'United States']",7.3,['English']
Conan O'Brien Can't Stop,2011,"['Documentary', 'Comedy', 'Music']",[<Person id:0281869[http] name:_Rodman Flender_>],"[<Person id:0005277[http] name:_Conan O'Brien_>, <Person id:0725200[http] name:_Andy Richter_>, <Person id:0900375[http] name:_Jimmy Vivino_>, <Person id:0372379[http] name:_Scott Healy_>, <Person id:0581436[http] name:_Mike Merritt_>, <Person id:0941559[http] name:_James Wormworth_>, <Person id:0900374[http] name:_Jerry Vivino_>, <Person id:0671667[http] name:_Mark 'Love Man' Pender_>, <Person id:0742314[http] name:_Richie 'La Bamba' Rosenberg_>, <Person id:0391151[http] name:_Rachael L. Hollingsworth_>]",['United States'],7.0,['English']
The Death of Stalin,2017,"['Comedy', 'Drama', 'History']",[<Person id:0406334[http] name:_Armando Iannucci_>],"[<Person id:1385871[http] name:_Olga Kurylenko_>, <Person id:1623508[http] name:_Tom Brooke_>, <Person id:0175916[http] name:_Paddy Considine_>, <Person id:1517523[http] name:_Justin Edwards_>, <Person id:1145854[http] name:_Adrian McLoughlin_>, <Person id:0750971[http] name:_Simon Russell Beale_>, <Person id:0001787[http] name:_Jeffrey Tambor_>, <Person id:0000114[http] name:_Steve Buscemi_>, <Person id:0001589[http] name:_Michael Palin_>, <Person id:0713961[http] name:_Paul Ready_>]","['United Kingdom', 'France', 'Belgium']",7.2,['English']
